water,5,50,0,0,inf
water,5,10,0,0,999
water,5,50,0,0,999
water,5,50,0,0,999
bone,5,1,0,0,999
bone,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
lead,5,1,0,0,999
concrete,5,1,0,0,999
concrete,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,50,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,50,0,0,999
muscle,5,1,0,0,999
muscle,5,1,0,0,999
muscle,5,50,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,50,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
water,5,1,0,0,999
bone,5,1,0,0,999
concrete,5,1,0,0,999
concrete,5,1,0,0,999
concrete,5,1,0,0,999
concrete,5,1,0,0,999
lead,5,1,0,0,999
lead,5,1,0,0,999
muscle,5,1,0,0,999
water,5,100,0,0,999
water,5,100,0,0,999
water,1,100,0,0,999
water,0.01,10,0,0,999
water,0.01,10,10,1,-0
water,5,1000,864,0.864,0.0292365
water,5,100000,84415,0.84415,0.033885
muscle,5,100000,83910,0.8391,0.0350851
bone,5,100000,74444,0.74444,0.0590246
